REF_ID,USER_ID,LOG_TIMESTAMP,RECEIVER_ID,AMOUNT,PAYMENT_TYPE,CARD_NUM,CARD_TYPE,CARD_NAME,CARD_EXP,BANK_NAME,BANK_ACCOUNT
1,1,2018/12/03 2:38:25,7,5,0,253763028335929,VISA,M RUJIPHAT,02/20,,
2,7,2019/04/30 19:06:56,2,1,1,,,,,UOB,1619005714
3,2,2021/05/10 14:26:57,3,100,0,861035730946500,MASTER CARD,P ANGKOONIDIATTPHONG,02/22,,
4,1,2019/01/11 7:13:05,5,90,0,253763028335929,VISA,M RUJIPHAT,12/21,,
5,1,2018/08/03 2:30:23,7,50.5,1,,,,,KBANK,4879393698
6,3,2018/11/09 13:19:22,1,1.5,1,,,,,UOB,8530231765
7,8,2018/10/27 9:20:47,1,33,0,652411953095752,VISA,M HARAWATA,09/20,,
8,8,2018/10/12 14:10:50,7,3,0,652411953095752,VISA,M HARAWATA,09/20,,
9,1,2018/04/04 0:15:25,5,24,0,253763028335929,VISA,M RUJIPHAT,12/21,,
10,4,2018/12/28 21:53:52,5,1,0,759352174744299,MASTER CARD,M CALIOPE,12/20,,
11,6,2018/06/25 20:38:26,5,64,1,,,,,KBANK,5882140699
12,6,2019/05/28 11:20:39,3,54,1,,,,,UOB,6645142190
13,1,2021/04/14 12:56:39,3,1.5,0,253763028335929,VISA,M RUJIPHAT,12/21,,
14,1,2018/08/14 0:54:15,5,3.5,1,,,,,KBANK,3476647638
15,5,2021/11/14 6:13:19,1,43.1,0,35676110855104,VISA,I MINASE,10/20,,
16,2,2021/05/29 5:20:23,3,89,0,861035730946500,MASTER CARD,P ANGKOONIDIATTPHONG,02/22,,
17,5,2019/11/26 13:56:27,10,20,1,,,,,TMB,1532874658
18,1,2019/04/30 9:49:07,10,10,0,253763028335929,MASTER CARD,M RUJIPHAT,12/21,,
19,5,2018/07/27 14:41:05,10,13.5,0,779838241626047,VISA,I MINASE,10/20,,
20,5,2019/02/25 4:55:16,10,30,1,,,,,UOB,5936057130
21,5,2018/02/02 4:50:08,3,80,0,35676110855104,VISA,I MINASE,10/20,,
22,1,2020/09/12 4:55:41,10,13,0,253763028335929,MASTER CARD,M RUJIPHAT,12/21,,
23,2,2019/05/24 13:41:46,10,15,0,861035730946500,MASTER CARD,P ANGKOONIDIATTPHONG,02/22,,
24,1,2021/01/14 8:03:17,2,6,1,,,,,KBANK,1503810036
25,5,2020/09/02 14:10:51,1,5,1,,,,,TMB,7068464132
26,5,2019/08/31 20:19:34,1,17,1,,,,,TMB,3128611072
27,1,2021/02/15 22:12:21,10,23,1,,,,,SCB,3087607553
28,5,2018/06/25 18:53:11,2,23,1,,,,,SCB,3099112002
29,10,2018/04/16 6:50:21,2,12,1,,,,,UOB,3302920973
30,1,2019/01/09 6:47:54,2,52,1,,,,,UOB,4638040680
